feature,mean_abs_shap
transaction_month,0.023742640351580024
transaction_year,0.022516448822059217
days_since_previous_failure,0.017302408141056137
historical_total_spend,0.01630849165390747
transaction_day,0.015997348806785498
transaction_hour,0.015849493918873015
days_since_previous_transaction,0.015521374730153591
days_since_previous_success,0.015189992976738344
transaction_dayofweek,0.014850352761743566
unit_price,0.01340041517079674
historical_refunded,0.013340641671537569
shipping_cost,0.013218046591153892
total_amount,0.012975317862402913
previous_avg_amount,0.012478871812589823
historical_avg_transaction,0.012254633171464574
customer_tenure_days,0.012183026386310605
amount_vs_previous_avg,0.011783559755551988
transactions_last_90d,0.011352565938924428
success_streak_before,0.011335070785058958
historical_failure_rate,0.011139516330742899
historical_completed,0.011056341014506851
historical_cancelled,0.010408953178129335
discount_applied,0.010178371081616074
historical_success_rate,0.009791548466628927
quantity,0.008966880314079018
transactions_last_30d,0.008276211091446493
payment_method_credit_card,0.007991969532203828
payment_method_debit_card,0.007838141885952448
failure_streak_before,0.00769293888705736
spend_last_30d,0.007674260819209411
is_weekend,0.007347432863190557
customer_transactions_before,0.007036504229322757
historical_transactions,0.006632176738936349
completed_last_30d,0.006134727208336478
payment_method_paypal,0.005444639721137503
days_since_previous_recovery,0.005142256736654437
transactions_last_7d,0.004925776707549325
payment_method_apple_pay,0.00465462578279666
previous_recovery_date,0.004525966416920599
customer_recoveries_before,0.004514763338481941
customer_recovery_rate_before,0.004470613962575355
payment_method_google_pay,0.004302032650583842
failed_last_30d,0.0042577601542592
recoveries_last_30d,0.004055417864062499
payment_method_bank_transfer,0.002211318424270637
recovery_streak_before,0.0019177698759300474
failed_last_7d,0.0016431419292878518
recoveries_last_90d,0.0012928870237875231
historical_failed,0.0
