feature,importance
customer_tenure_days,0.04106172598634706
transaction_hour,0.04055003481772316
transaction_day,0.03967663928909849
transaction_month,0.03872193863318882
transaction_dayofweek,0.03860583082316136
shipping_cost,0.03511982057745718
days_since_previous_transaction,0.031270582312392686
days_since_previous_success,0.030713589388101117
historical_completed,0.02983625710860089
unit_price,0.028634342159659782
historical_transactions,0.028609136408656657
days_since_previous_failure,0.028492974838690354
historical_total_spend,0.027863754706714247
transactions_last_90d,0.027751912602663773
discount_applied,0.0274982125280393
previous_avg_amount,0.026918476337340375
historical_cancelled,0.026524678755801518
historical_refunded,0.026129927860901944
historical_success_rate,0.025746681874905922
total_amount,0.025615396469635014
customer_transactions_before,0.024871507806325483
historical_failure_rate,0.02374518528473229
historical_avg_transaction,0.023165457252853607
is_weekend,0.021813645138776882
success_streak_before,0.02158808792181421
amount_vs_previous_avg,0.0207328047498652
payment_method_credit_card,0.01990513142092226
quantity,0.018115292294800814
transactions_last_30d,0.01786684598848035
payment_method_paypal,0.015783720396147373
payment_method_debit_card,0.01551788768090268
failure_streak_before,0.015226769018646147
spend_last_30d,0.014940201045239444
completed_last_30d,0.014382007830232075
payment_method_apple_pay,0.01323964709549648
payment_method_google_pay,0.013153874983351747
transaction_year,0.01281311854852901
transactions_last_7d,0.011956437579714478
failed_last_30d,0.010187290480113853
payment_method_bank_transfer,0.008099777414556301
customer_recoveries_before,0.006594043446906207
customer_recovery_rate_before,0.006267973616273093
days_since_previous_recovery,0.006173478672223174
previous_recovery_date,0.005274146271062691
failed_last_7d,0.00456561212056025
recoveries_last_30d,0.003039066437342973
recovery_streak_before,0.002913548253803475
recoveries_last_90d,0.00272552777124782
historical_failed,0.0
