feature,importance_mean,importance_std
recoveries_last_30d,0.007689496428762118,0.001628752323370425
days_since_previous_recovery,0.004894777277275252,0.0006899287957955183
recovery_streak_before,0.003359480128612163,0.0008919425427965803
success_streak_before,0.0013601612560941363,0.0015898915607150473
historical_avg_transaction,0.0012436361559470491,0.0005366899088161418
failure_streak_before,0.0011509949021329443,0.0010768299548803424
recoveries_last_90d,0.0010888888267980303,0.0002584343166498696
days_since_previous_transaction,0.0009721481984127408,0.0009725719884886831
transaction_hour,0.0008993704047406959,0.0011714361586372597
days_since_previous_failure,0.0008930712220998227,0.0008819183954306026
transactions_last_7d,0.0007873595807310632,0.0007041421386021967
historical_failure_rate,0.0007671332314855325,0.0009548383244333571
customer_tenure_days,0.0006934282029907909,0.0011776109050329227
historical_cancelled,0.0006281431901638517,0.0012708188426558372
historical_total_spend,0.0006164659461958558,0.0009168360939397646
customer_recoveries_before,0.0005545128318607623,0.000950549337733909
historical_transactions,0.0005108694070299936,0.0026343345605505347
previous_avg_amount,0.00039589852422399483,0.0005886806450832241
payment_method_paypal,0.00038631702984648906,0.0005772659688995271
customer_recovery_rate_before,8.1360189169416e-05,0.00038003507200599343
historical_success_rate,3.106664329445979e-05,0.000694785547409295
historical_failed,0.0,0.0
transaction_year,0.0,0.0
historical_refunded,-5.179972090786355e-05,0.0010377729881978818
failed_last_7d,-0.0001377396100031056,0.00033258662035758074
discount_applied,-0.00015911673400975795,0.0008809235447311697
transaction_dayofweek,-0.00017083382548801346,0.0008040607195501101
transaction_month,-0.00017636914527868614,0.00011657805043172712
shipping_cost,-0.0002108300516979203,0.0011144060463682609
is_weekend,-0.0003589468152252931,0.0012279501849447995
quantity,-0.0006048113957109566,0.0008184260349777064
payment_method_google_pay,-0.0006161916506618903,0.0007010824962552911
spend_last_30d,-0.0006555091412635327,0.0006029516597040786
failed_last_30d,-0.0006715853600368652,0.0006970152684670096
previous_recovery_date,-0.0007454506826170173,0.0005845484081707427
amount_vs_previous_avg,-0.0007797818120582972,0.0005077666451618212
customer_transactions_before,-0.0008095175725825327,0.0015334264338704117
payment_method_apple_pay,-0.0009550789598893148,0.0012579613366762298
historical_completed,-0.0010510853781747404,0.0017426728709252796
transactions_last_30d,-0.0011992085541183306,0.0011598020606493553
payment_method_credit_card,-0.0014197112666908553,0.0010272709361478498
unit_price,-0.001530059517562328,0.0006734703145519539
payment_method_debit_card,-0.0017788187772630373,0.0015681269104175592
payment_method_bank_transfer,-0.0018363607598468265,0.0007007555753377814
total_amount,-0.0019316397337502413,0.0001884732478825082
transaction_day,-0.002091588583115092,0.0011674519521528504
completed_last_30d,-0.002663938127505186,0.0015481891421944914
transactions_last_90d,-0.0026924650470359123,0.0015254146950267314
days_since_previous_success,-0.003829122140273257,0.001296530143195762
