feature,importance_model,importance_permutation,importance_std
customer_tenure_days,0.04106172598634706,0.0006934282029907909,0.0011776109050329227
transaction_hour,0.04055003481772316,0.0008993704047406959,0.0011714361586372597
transaction_day,0.03967663928909849,-0.002091588583115092,0.0011674519521528504
transaction_month,0.03872193863318882,-0.00017636914527868614,0.00011657805043172712
transaction_dayofweek,0.03860583082316136,-0.00017083382548801346,0.0008040607195501101
shipping_cost,0.03511982057745718,-0.0002108300516979203,0.0011144060463682609
days_since_previous_transaction,0.031270582312392686,0.0009721481984127408,0.0009725719884886831
days_since_previous_success,0.030713589388101117,-0.003829122140273257,0.001296530143195762
historical_completed,0.02983625710860089,-0.0010510853781747404,0.0017426728709252796
unit_price,0.028634342159659782,-0.001530059517562328,0.0006734703145519539
historical_transactions,0.028609136408656657,0.0005108694070299936,0.0026343345605505347
days_since_previous_failure,0.028492974838690354,0.0008930712220998227,0.0008819183954306026
historical_total_spend,0.027863754706714247,0.0006164659461958558,0.0009168360939397646
transactions_last_90d,0.027751912602663773,-0.0026924650470359123,0.0015254146950267314
discount_applied,0.0274982125280393,-0.00015911673400975795,0.0008809235447311697
previous_avg_amount,0.026918476337340375,0.00039589852422399483,0.0005886806450832241
historical_cancelled,0.026524678755801518,0.0006281431901638517,0.0012708188426558372
historical_refunded,0.026129927860901944,-5.179972090786355e-05,0.0010377729881978818
historical_success_rate,0.025746681874905922,3.106664329445979e-05,0.000694785547409295
total_amount,0.025615396469635014,-0.0019316397337502413,0.0001884732478825082
customer_transactions_before,0.024871507806325483,-0.0008095175725825327,0.0015334264338704117
historical_failure_rate,0.02374518528473229,0.0007671332314855325,0.0009548383244333571
historical_avg_transaction,0.023165457252853607,0.0012436361559470491,0.0005366899088161418
is_weekend,0.021813645138776882,-0.0003589468152252931,0.0012279501849447995
success_streak_before,0.02158808792181421,0.0013601612560941363,0.0015898915607150473
amount_vs_previous_avg,0.0207328047498652,-0.0007797818120582972,0.0005077666451618212
payment_method_credit_card,0.01990513142092226,-0.0014197112666908553,0.0010272709361478498
quantity,0.018115292294800814,-0.0006048113957109566,0.0008184260349777064
transactions_last_30d,0.01786684598848035,-0.0011992085541183306,0.0011598020606493553
payment_method_paypal,0.015783720396147373,0.00038631702984648906,0.0005772659688995271
payment_method_debit_card,0.01551788768090268,-0.0017788187772630373,0.0015681269104175592
failure_streak_before,0.015226769018646147,0.0011509949021329443,0.0010768299548803424
spend_last_30d,0.014940201045239444,-0.0006555091412635327,0.0006029516597040786
completed_last_30d,0.014382007830232075,-0.002663938127505186,0.0015481891421944914
payment_method_apple_pay,0.01323964709549648,-0.0009550789598893148,0.0012579613366762298
payment_method_google_pay,0.013153874983351747,-0.0006161916506618903,0.0007010824962552911
transaction_year,0.01281311854852901,0.0,0.0
transactions_last_7d,0.011956437579714478,0.0007873595807310632,0.0007041421386021967
failed_last_30d,0.010187290480113853,-0.0006715853600368652,0.0006970152684670096
payment_method_bank_transfer,0.008099777414556301,-0.0018363607598468265,0.0007007555753377814
customer_recoveries_before,0.006594043446906207,0.0005545128318607623,0.000950549337733909
customer_recovery_rate_before,0.006267973616273093,8.1360189169416e-05,0.00038003507200599343
days_since_previous_recovery,0.006173478672223174,0.004894777277275252,0.0006899287957955183
previous_recovery_date,0.005274146271062691,-0.0007454506826170173,0.0005845484081707427
failed_last_7d,0.00456561212056025,-0.0001377396100031056,0.00033258662035758074
recoveries_last_30d,0.003039066437342973,0.007689496428762118,0.001628752323370425
recovery_streak_before,0.002913548253803475,0.003359480128612163,0.0008919425427965803
recoveries_last_90d,0.00272552777124782,0.0010888888267980303,0.0002584343166498696
historical_failed,0.0,0.0,0.0
